描述,几室几厅,高低层,朝向,建筑年代,所属小区,所属片区,地址,最近地铁站,建筑面积,整套价格,平方价格
佳园三居室+双卧客厅朝南+眼睛户型+南北向花园+主卧接观景阳台,3室2厅,中层(共9层),南北向,2005,上地佳园,上地,上地东路与上地南路交汇处北行340米路东,距13号线上地站约210米,150,1430,95359
安慧里二区一室二厅一卫,1室2厅,中层(共25层),西向,1992,安慧里二区,亚运村,安慧桥向北500米路东,距5号线惠新西街北口站约995米,50,390,77566
崇文门太华 南向一居 中层 业主诚售,1室1厅,中层(共19层),南向,2000,新世界太华公寓,崇文门,崇文门外大街5号(地铁崇文门站南 崇文门外大,距5号线磁器口站约381米,100,770,77340
纳帕澜郡精装修南北通透三居室自己住139平508低价出售,3室2厅,中层(共15层),南北向,2012,纳帕澜郡,小汤山,沙顺路88号,无,139,508,36547
爱家优选!南北通透两居室 口 满2年 不临京开 无浪费面积,2室1厅,中层(共20层),南北向,2012,新源时代,生物医药基地,纪百户街16号,距大兴线生物医药基地站约554米,89,300,33527
(安家)西三旗 知本时代 板楼两居 中间楼层 南北通透 看房预约,2室1厅,低层(共7层),南北向,2004,知本时代,西三旗,西三旗环岛东2000米,距13号线霍营站约869米,97,550,56701
房山 长阳 翠林漫步一期 南北三居室 客厅主卧朝南,3室2厅,中层(共10层),南北向,2013,翠林漫步,长阳,长阳镇昊天北大街与圣水西路交叉口,无,125,500,39888
自己房源 !别对可靠!,2室1厅,低层(共6层),南北向,1977,真武庙三里,白云路,真武庙路四条北侧 白云路东,距1号线木樨地站约974米,50,550,109780
新龙城 2室 98.0平 南北通透朝向,2室1厅,高层(共8层),南北向,2008,新龙城,龙泽,昌平八达岭高速路回龙观南出口东侧,距13号线龙泽站约533米,98,575,58673
安慧里一区二室一厅一卫,2室1厅,低层(共18层),南北向,1991,安慧里一区,亚运村,慧忠路与北苑路交汇处西行250米,距5号线惠新西街北口站约556米,63,400,63877
大七环环京香河九璟湾,2室1厅,低层(共28层),南北向,2012,巨富九璟湾,香河,安平镇二街村南侧(103国道东侧),无,83,103,12410
10号线角门东 首座绿洲 西南大三居 户型好 业主,3室2厅,高层(共21层),西南向,2005,首座绿洲,角门,角门北路3号院,距10号线角门东站约761米,141,760,53908
公主坟商圈 翠微南里 总价低两居室 精装修小区安静不临街,2室1厅,高层(共6层),西向,1990,翠微南里,公主坟,海淀区公主坟万寿路翠微南里小区,距1号线万寿路站约565米,49,405,82284
装修好 视野好 看房方便,4室3厅,低层(共2层),东向,2009,金隅山墅,玉泉路,阜石路与沙石厂路交叉口向南100米处,无,224,1950,86879
滨河小区二室 南北通透 婚房 采光好 楼层低 楼下公交站,2室1厅,低层(共6层),南北向,2003,滨河小区,顺义城,顺义区妇幼老年保健院东北侧300米路北,无,60,227,38062
龙湖大方居二室一厅一卫,2室1厅,低层(共21层),南向,2011,龙湖大方居,果园,半壁店大街25号,无,91,350,38256
白领家园二室二厅一卫,2室2厅,高层(共6层),南北向,2005,白领家园,高碑店,高碑店北路甲6号院,距1号线四惠东站约620米,110,690,62489
新登+长阳半岛2号院+满2公积金无契税+3居室南北通透诚售,3室1厅,高层(共9层),南北向,2011,长阳半岛,长阳,长阳镇京良路南侧 京良环岛东行约3公里,距房山线长阳站约929米,95,446,47012
南二环 右安门外 西南电梯中楼层方正两居室 周边无任何遮挡,2室1厅,中层(共18层),西南向,1991,玉林东里二区,右安门,右安门桥西南角,无,61,380,61980
南珠苑三室一厅一卫,3室1厅,中层(共20层),东南向,2000,南珠苑,草桥,草桥东路8号院,距10号线草桥站约982米,96,530,55134
首尔甜城39街区小户型 大空间,1室1厅,低层(共20层),东向,2017,首尔甜城39街区,燕郊,燕郊燕顺路北段诸葛店新村首尔甜城,无,36,71,19894
嘉园一里二室一厅一卫,2室1厅,低层(共18层),东北向,1996,嘉园一里,马家堡,马家堡西路与角门北路交汇处西行70米路北,距4号线马家堡站约101米,63,375,59533
海户西里 繁华地段 交通便利 南北通透 全明户型 采光好 业主诚售,2室1厅,高层(共14层),南北向,1993,海户西里,洋桥,马家堡东路与南三环中路交汇处南行60米路东,距10号线角门东站约1123米,57,320,56239
读家报盘!西水井胡同8号楼 南北2居 前后无遮挡 精装婚房,2室1厅,高层(共16层),南北向,2005,西水井胡同,朝阳门内,朝阳门南小街东侧,距2号线朝阳门站约626米,76,670,88742
檀香山双拼 毛坯 私家花园 车库车位3个 大师特选,5室2厅,低层(共1层),南向,2006,檀香山别墅,香山,西四环四季青桥西1500米,无,281,3366,120000
21星河湾畅园一期309平米 双卧朝南+独立书房 可做四居,4室2厅,高层(共18层),南北向,2007,星河湾,朝青,四季星河西路与四季星河南街交叉点东北角,距6号线青年路站约591米,307,2400,78176
建邦华庭康泽路7号院三室二厅二卫,3室2厅,中层(共18层),南北向,2013,建邦华庭,长阳,房山线长阳镇站旁 京良路北侧,距房山线长阳站约595米,139,665,47814
开间一居室 业主改成小两居 单价低 看房方便诚心,1室1厅,高层(共1层),南向,2006,怡馨家园,顺义城,新顺南大街26号,无,52,265,50932
东三环 双井优士阁 单价3万 南向好采光的房子 抄底售,1室1厅,中层(共30层),南北向,2004,优士阁,双井,广渠门外大街8号,距10号线双井站约304米,210,630,30000
马家堡西里二室一厅一卫,2室1厅,中层(共6层),南北向,1995,马家堡西里,马家堡,南三环马家堡中路西侧,距4号线马家堡站约594米,62,336,53846
南二环 开阳里六区 2室2厅2卫 03年小区 4/14线,2室2厅,高层(共24层),西南向,2003,开阳里小区,右安门,右安门外大街与开阳里一街交汇处东行135米路,距4号线北京南站约1104米,124,710,57337
熙悦山南区二室一厅一卫,2室1厅,中层(共23层),南北向,2014,首开熙悦山,长阳,房山区长阳康泽路3号院(长阳镇京良路南侧 京,距房山线长阳站约697米,91,390,43084
丽泽景园 全南朝向 两居室 布局方正 采光充足,2室1厅,中层(共26层),南向,2011,丽泽景园,丽泽桥,益泽路1号院,距10号线西局站约593米,78,420,53846
珍惜委托:君安家园 三居室 满五年,3室2厅,高层(共19层),西南向,2005,君安家园,清河,育新花园西路与小营东路交叉口北行200米,距8号线西小口站约968米,143,835,58363
三元桥 凤凰城三期低楼层 精装修东南两居室 看房方便 有钥匙,2室2厅,低层(共36层),东南向,2008,凤凰城三期,三元桥,曙光西里甲5号院,距10号线三元桥站约487米,129,1300,100775
行宫二里 南北通透 两居室 满五年 首付95万 看房方便,2室1厅,高层(共6层),南北向,1996,行宫小区,行宫,拱辰北大街与政通路交叉口向东 房山区政府东侧,无,85,230,27059
四惠 东区 正南向180平米三居+储物间的好房子 同1150万出售,3室1厅,中层(共26层),南向,2005,东区国际,四惠,慈云寺1号院,距1号线四惠站约972米,180,1150,63889
玺萌丽苑一室一厅一卫,1室1厅,高层(共24层),南向,2004,玺萌丽苑,马家堡,北甲地路6号院,距4号线马家堡站约877米,57,350,61275
首创伊林郡一期 成熟小区 人气旺 交通便利!价格可议!,2室1厅,低层(共18层),南向,2006,首创伊林郡,良乡,京港澳高速22B良乡机场出口即到,无,82,330,40180
珍惜委托:清景园小区转商满二年的二居室,2室1厅,高层(共22层),西向,2007,清景园,清河,龙岗路与京藏高速交汇处东行160米路北,距8号线永泰庄站约868米,99,580,58586
门头沟 黑山公园旁 裘马四季 一手精装现房 走阜石路直达西四环,3室2厅,高层(共11层),南北向,2017,华远裘马四季,大峪,龙泉镇新桥大街西侧 区政府正对面,无,191,950,49738
房山长阳 大宁山庄下叠 价格合适 装修讲究 适合,4室2厅,低层(共6层),南北向,2012,大宁山庄,长阳,南五环外京石高速第一出口路南,无,222,1030,46325
首付8万起在固安安个家,1室1厅,低层(共28层),南向,2000,永定河孔雀城空港壹号,固安,北倚农兴路西侧为永定路 东和南侧均为规划路 ,无,38,40,10526
鲁能7号院溪园三室二厅二卫,3室2厅,低层(共9层),南北向,2003,鲁能7号院,马坡,马坡镇顺恒大街东段北侧,无,135,505,37468
金庄小区南北通透两居室 不临街 主卧次卧带阳台,2室1厅,高层(共6层),南北向,2000,金庄一号院,曙光,北京海淀区彰化路金庄村 北新大厦北侧,无,78,580,74646
南北通透两居室 小区经典户型,2室1厅,高层(共9层),南北向,2005,乐府江南,田村,永定路乙1号院,无,122,1150,94394
芍药居北里二区二室二厅一卫,2室2厅,低层(共24层),西南向,2004,芍药居北里,芍药居,文学馆路 中煤信息大厦西北侧 北京市朝阳区芍,距10号线芍药居站约1058米,100,850,85393
(为你而选 为你爱家)京通苑二室一厅一卫,2室1厅,低层(共26层),东南向,2000,京通苑,管庄,朝阳区管庄杨闸环岛西北角,距八通线管庄站约559米,100,460,46157
新出!高层东向观景朝阳公园南湖!可作3居 能多貸,2室2厅,中层(共19层),东向,1999,景园大厦,朝阳公园,景园小街1号,距14号线朝阳公园站约537米,167,1250,74850
国贸别墅 1400平 边户 4000万做装修!两套打通 少见大格局,5室3厅,低层(共1层),南向,2000,首府别墅,大望路,西大望路甲19号,距7号线九龙山站约333米,525,4849,92432
实拍(南北花园250㎡)+毛坯复式+业主+密码房!,4室3厅,高层(共3层),南北向,2004,万城华府玺园,万柳,万柳华府海园10号,距10号线巴沟站约488米,328,5999,182991
四期新出大平层!低密矮板楼!带保姆间!,4室2厅,低层(共8层),南向,2008,凤凰城三期,三元桥,曙光西里甲5号院,距10号线三元桥站约487米,256,3659,142768
次顶层三居室 同户型这套单价更低!!,3室2厅,高层(共9层),东西向,2008,紫御府,西直门外,西外太平庄村55号,距4号线动物园站约960米,273,2599,95201
别墅里精心装修的、金银箔镶嵌 遴选精美玉石 给您不一样的享受,5室4厅,低层(共2层),西向,2000,财富公馆,大山子,苇沟村机场高速苇沟出口左转800米,无,1425,9799,68771
御园四居、三卧客厅朝南、餐厅厨房朝北、一卧朝西,4室3厅,高层(共3层),南北向,2012,北京御园,颐和园,青龙桥玉泉山路,无,373,3699,99102
客厅双卧南 不临街 高层无遮挡 餐厨一体 地下车位 人车分流,3室2厅,高层(共19层),东南向,2003,曙光花园望山园,曙光,曙光花园中路与彰化路交汇处北行250米路东,距10号线车道沟站约733米,157,1398,89181
纯南两居 高楼层 采光充足 交通方便,2室1厅,高层(共24层),南向,2013,中国铁建梧桐苑,双峪,龙兴南二路与美安路交叉口(永定镇卧龙岗北3公,无,84,378,45237
房 中间楼层 观花园 1号线八通线四惠东500米,2室1厅,中层(共9层),西向,2009,壹线国际,四惠,地铁一号线四惠站向东200米路北,距1号线四惠东站约1128米,74,460,61820
北街家园六区 板楼三居 满五年 税费少 楼层好 采光好,3室2厅,中层(共6层),南北向,2008,北街家园六区,沙河,沙河镇高教园区三期A区,无,78,348,44615
潭墅苑 小院 9室出售 户型方正 南北通透朝向,9室2厅,低层(共3层),南北向,2000,潭墅苑,大峪,潭柘寺镇新大街6号院,无,252,990,39286
奥林匹克公园旁3号楼新出房 南北朝向 业主 保养好 方便看,4室4厅,中层(共20层),南北向,2014,紫御华府,奥林匹克公园,奥林匹克公园北,距5号线立水桥南站约431米,353,3499,99122
丽景长安 2室出售 户型方正 朝南朝向,2室1厅,中层(共26层),南向,2016,丽景长安,双峪,永定镇石龙西路与三石路交叉口西南角向西200,无,89,400,45055
向阳楼 阜石路 朝南朝向,1室1厅,高层(共5层),南向,1980,向阳楼,大峪,门头沟区双峪路1号,无,35,140,39897
通惠家园惠民园双南向2居 户型好 业主诚意急售,2室1厅,低层(共28层),南向,2002,通惠家园惠民园,四惠,四惠东地铁站B出口向西100米路北,距1号线四惠东站约475米,75,450,59976
东二环后排恒温恒湿 南北西4居 全新装修 新中式 观湖赏绿,4室2厅,低层(共25层),南北向,2009,当代MOMA,东直门,东直门香河园路1号,距2号线东直门站约911米,299,3299,110445
北街家园八区 经典66平两居室 首付少 满五年 税费少 采光好,2室1厅,高层(共18层),东向,2013,北街家园八区,沙河,沙河镇北街家园八区,无,66,265,40152
大屯里小区 1室2厅1卫 高层观景 挨着,1室2厅,高层(共28层),南向,2000,大屯里小区,亚运村,亚运村大屯北路东端,距5号线大屯路东站约539米,72,410,57311
1000平大花园!大客厅6.5米挑空、纯地上格局!阳光足,5室2厅,低层(共3层),南向,2000,碧水庄园,沙河,沙河镇豆各庄村(京藏高速20号出口向前行驶5,无,303,2099,69274
丽景长安 南北通透朝向 3室 不临街,3室1厅,低层(共11层),南北向,2012,丽景长安,双峪,永定镇石龙西路与三石路交叉口西南角向西200,无,124,590,47420
1号线八通线始发站四惠东中高层1居室340万,1室1厅,中层(共28层),东向,2001,通惠家园惠民园,四惠,四惠东地铁站B出口向西100米路北,距1号线四惠东站约475米,60,340,57018
后沙峪 中间地段 裕祥花园南北两居诚心出售 总价低,2室1厅,高层(共6层),南北向,1999,裕祥花园,后沙峪,后沙峪镇双峪街16号,无,76,318,41842
梧桐苑清露园 2室 84.44平 朝南朝向,2室1厅,高层(共28层),南向,2013,中国铁建梧桐苑,双峪,龙兴南二路与美安路交叉口(永定镇卧龙岗北3公,无,84,380,45002
西军庄南北通透两居 全天武警站岗 满五惟一 业主诚售!!!!,2室1厅,低层(共6层),南北向,2000,北京新天地,管庄,朝阳路5号院 朝阳路7号院(管庄地区杨闸环岛,距八通线管庄站约822米,102,445,43791
海棠湾 全明两居 梨园轻轨站 环境好,2室1厅,低层(共24层),西北向,2011,K2海棠湾,梨园,梨园云景东路 地铁梨园站向南1200米,无,83,442,52966
梧桐苑栖凤园 南北通透朝向 3室 不临街,3室2厅,高层(共27层),南北向,2013,中国铁建梧桐苑,双峪,龙兴南二路与美安路交叉口(永定镇卧龙岗北3公,无,119,549,45991
公园大道复式三居室 含家具家电 全部空间朝南 保养好,3室2厅,低层(共19层),南向,2005,公园大道,朝阳公园,朝阳公园南路与东四环中路交叉点西南角,距14号线朝阳公园站约776米,227,2079,91586
大屯里全南向两居室 看房随时有钥匙 落地飘窗集中供暖,2室2厅,低层(共28层),南向,2003,大屯里小区,亚运村,亚运村大屯北路东端,距5号线大屯路东站约539米,93,630,68108
车道沟!四居!客厅双卧朝南!高层!全天采光!可入地库!,4室2厅,中层(共19层),西南向,2001,曙光花园望山园,曙光,曙光花园中路与彰化路交汇处北行250米路东,距10号线车道沟站约733米,160,1550,96875
万柳光大 花园新出公房 户型棒东南向三居 不夹天井 采光视野好,3室2厅,高层(共17层),东南向,2000,光大花园,万柳,万柳泉东路2号,距10号线长春桥站约913米,113,1568,138504
大露台+顶层复式+装修很好+双车位+两个大露台万泉新新。,4室3厅,高层(共6层),南北向,2001,万泉新新家园,万柳,巴沟南路35号,距10号线巴沟站约599米,284,3799,133768
北五环纯独栋+1500万装修+全新未住+300平大花园舒适,5室4厅,低层(共2层),南向,2015,润泽御府,北苑,水岸庄园(北五环顾家庄桥正北2600米),无,600,6688,111467
常营地区 首开畅心园东向两居 紧挨龙湖天街 配套齐全!,2室1厅,高层(共29层),东向,2010,首开畅心园,常营,常营乡 东至草房西路 西至辛庄路 南至常营南,距6号线草房站约693米,69,270,38967
国贸别墅 1400平 边户 4000万做装修!两套打通 少见大格局,5室3厅,低层(共1层),南向,2000,首府别墅,大望路,西大望路甲19号,距7号线九龙山站约333米,525,4849,92432
南北通透 双向阳台 阳光上东 我有钥匙 安静不临街,3室1厅,低层(共22层),南北向,2006,丽都水岸,酒仙桥,东风北桥北 酒仙桥路甲12号,距14号线将台站约705米,180,1350,75000
四期新出大平层!低密矮板楼!带保姆间!,4室2厅,低层(共8层),南向,2008,凤凰城三期,三元桥,曙光西里甲5号院,距10号线三元桥站约487米,256,3659,142768
新出当代三居 户型方正大落地窗 可观南区湖景 假山瀑布,3室2厅,高层(共20层),南北向,2008,当代MOMA,东直门,东直门香河园路1号,距2号线东直门站约911米,206,2349,114184
万柳涧桥泊屋:板楼两居可改三 东西通透 精装,2室2厅,低层(共14层),东西向,2003,涧桥泊屋,万柳,苏州桥往西300米右转万柳中路,距10号线长春桥站约896米,123,1580,128570
御园四居、三卧客厅朝南、餐厅厨房朝北、一卧朝西,4室3厅,高层(共3层),南北向,2012,北京御园,颐和园,青龙桥玉泉山路,无,373,3699,99102
新出钻石户型+三卧室朝南+采光面+通透性好!,3室2厅,中层(共31层),南北向,2004,凤凰城,三元桥,东域大厦北100米,距10号线三元桥站约577米,225,1999,88844
朝阳区带500平大花园的法式独栋别墅 精装修可以直接入住!!,5室3厅,低层(共3层),北向,2014,润泽御府,北苑,水岸庄园(北五环顾家庄桥正北2600米),无,542,6968,128478
全新从未住、高楼层景观房 方正通透四居室 科技住宅绿金品质,4室2厅,中层(共18层),南北向,2011,广渠路金茂府,百子湾,广渠路与东四环中路交叉点西北角,距7号线大郊亭站约225米,282,4399,155993
实拍(南北花园250㎡)+毛坯复式+业主+密码房!,4室3厅,高层(共3层),南北向,2004,万城华府玺园,万柳,万柳华府海园10号,距10号线巴沟站约488米,328,5999,182991
!丽京花园两居 价 精装修房况好 西南向采光好,2室2厅,中层(共3层),南北向,1993,丽京花园公寓,天竺,机场高速路杨林大道出口,无,159,650,40880
新出!高层东向观景朝阳公园南湖!可作3居 能多貸,2室2厅,中层(共19层),东向,1999,景园大厦,朝阳公园,景园小街1号,距14号线朝阳公园站约537米,167,1250,74850
银谷美泉:中间南北3居前后观景 双卧夹客厅朝南 客餐厅动静分离,3室2厅,低层(共7层),南北向,2008,银谷美泉,朝阳公园,姚家园路甲8号青年路与姚家园路交汇处向东10,无,159,1320,83019
庄园在售精装修东边户 地上两层地下一层带大花园 20平大露台,4室3厅,低层(共2层),北向,2009,润泽庄园,来广营,北五环顾家庄桥北来广营乡清河营村,无,298,2599,87215
海棠湾 全明两居 梨园轻轨站 环境好,2室1厅,低层(共24层),西北向,2011,K2海棠湾,梨园,梨园云景东路 地铁梨园站向南1200米,无,83,442,52966
金地朗悦一期89.63平南北向三居+中高楼层+售价385万,3室2厅,中层(共11层),南北向,2014,金地朗悦,良乡,大房山区长阳镇 房山线良乡大学城北站,距房山线良乡大学城北站约874米,90,385,42954
西二环紫御府新出房源 323平主力户型 中式风格 温泉入户 保养好,4室2厅,中层(共12层),南北向,2008,紫御府,西直门外,西外太平庄村55号,距4号线动物园站约960米,323,3499,108224
为了家 选择梧桐苑清露园 好价格 你还不心动,3室1厅,中层(共28层),南北向,2013,中国铁建梧桐苑,双峪,龙兴南二路与美安路交叉口(永定镇卧龙岗北3公,无,90,430,47943
大屯里小区 1室2厅1卫 高层观景 挨着,1室2厅,高层(共28层),南向,2000,大屯里小区,亚运村,亚运村大屯北路东端,距5号线大屯路东站约539米,72,410,57311
丽景长安 南北通透朝向 3室 不临街,3室1厅,低层(共11层),南北向,2012,丽景长安,双峪,永定镇石龙西路与三石路交叉口西南角向西200,无,124,590,47420
后沙峪 中间地段 裕祥花园南北两居诚心出售 总价低,2室1厅,高层(共6层),南北向,1999,裕祥花园,后沙峪,后沙峪镇双峪街16号,无,76,318,41842
金泉家园三室二厅二卫,3室2厅,低层(共30层),东南向,2007,保利金泉,亚运村,北苑路与大屯北路交叉点向西300米路南,距15号线安立路站约524米,159,1400,87846
客厅双卧南 不临街 高层无遮挡 餐厨一体 地下车位 人车分流,3室2厅,高层(共19层),东南向,2003,曙光花园望山园,曙光,曙光花园中路与彰化路交汇处北行250米路东,距10号线车道沟站约733米,157,1398,89181
1000平大花园!大客厅6.5米挑空、纯地上格局!阳光足,5室2厅,低层(共3层),南向,2000,碧水庄园,沙河,沙河镇豆各庄村(京藏高速20号出口向前行驶5,无,303,2099,69274
四惠站 08年小区 南向一居可改两居 后置 婚房,1室2厅,中层(共9层),南向,2009,壹线国际,四惠,地铁一号线四惠站向东200米路北,距1号线四惠东站约1128米,78,568,72933
向阳楼 阜石路 朝南朝向,1室1厅,高层(共5层),南向,1980,向阳楼,大峪,门头沟区双峪路1号,无,35,140,39897
傭金1个点 全新房 南北通透 低于同户型200万 业主换房腾资格,4室2厅,中层(共35层),南北向,2015,公园1872,东八里庄,朝阳北路与石佛营路交叉点向西200米路北,距6号线十里堡站约314米,226,2199,97301
灵境胡同二室一厅一卫,2室1厅,高层(共6层),南北向,1989,灵境胡同,金融街,西单北大街东侧灵境胡同,距4号线灵境胡同站约589米,64,920,144654
东西全明格局2居室 满五年 挨着 封闭式小区,2室1厅,高层(共16层),东西向,2005,阳光新干线,亚运村,慧中北路与北苑路交叉口(亚运村阳光广场往东3,距5号线大屯路东站约500米,93,760,81318
靠谱房源:京畿道 民委宿舍楼 金融街 西单 民族饭店后身 工行东,3室1厅,高层(共14层),南北向,1994,京畿道小区,金融街,中京畿道与太平桥大街路口以东100米,距1号线西单站约987米,71,1000,140845
御汤山社区店 出售二十多套房子代理费只收1.5机会难得,4室3厅,低层(共2层),南向,2009,御汤山,小汤山,小汤山疗养院东侧 紧邻立汤路 距离北六环61,无,460,1400,30435
四居 一层带南向花园 中式精装修 南北双阳台,4室2厅,低层(共8层),南北向,2007,西山华府,马连洼,马连洼北路与竹园中街交汇处南行150米路两侧,距16号线马连洼站约1026米,171,1699,99631
新上房源 金融街行长楼 南北通透无遮挡两居 无浪费,2室2厅,低层(共6层),南北向,2003,丰汇园,金融街,太平桥大街84号(政协礼堂斜对面),距4号线灵境胡同站约831米,128,2000,156863
游泳池+500平南花园+10米挑空大面宽客厅 全新丽宫二期别墅!,5室3厅,低层(共1层),东向,2000,恒大丽宫,中央别墅区,机场高速杨林出口西行800米。,无,1012,7501,74123
新出310平四居!全新房!从未住过!27平米大厨房!大落地窗!,4室3厅,高层(共28层),南北向,2013,红玺台,太阳宫,太阳宫二街三号院,距10号线芍药居站约143米,310,5399,174420
东八里庄东里二室一厅一卫,2室1厅,中层(共6层),南北向,1985,八里庄东里,东八里庄,八里庄车站路北苏宁电器后身,距6号线十里堡站约746米,60,330,54600
北三环蓟门桥大钟寺和景园西南大三居 视野好有车位改善型住宅,3室2厅,中层(共24层),西南向,2001,和景园,蓟门桥,北三环蓟门桥西北角,距13号线大钟寺站约821米,152,880,57895
新上房源 官苑八号 南北通透无遮挡 带车位,3室2厅,高层(共16层),南北向,2007,官苑八号,官园,官园胡同甲1号,距2号线车公庄站约702米,147,2200,149660
特价房两居室+南北通透户型+业主!社区单价,2室1厅,高层(共11层),南向,2008,西城晶华,金融街,金融街太平桥大街8号(城铁阜成门站东南600,距4号线西四站约902米,113,1800,159405
业主已经买房 南北跃层3居室 满五年,3室1厅,高层(共16层),南北向,1999,慧忠北里,亚运村,朝阳亚运村安立路与科荟路交叉口西南角,距15号线安立路站约692米,104,625,60148
300万!全新高层观景房+南北通透+南北西采光+大落地窗设计,4室2厅,高层(共28层),南北向,2013,红玺台,太阳宫,太阳宫二街三号院,距10号线芍药居站约143米,275,4099,149055
房山城关 管道局 两室一厅 南北通透 首付59万 城铁沿线,2室1厅,高层(共6层),南北向,1997,管道局家属楼,房山城关,房山南关大街管道局家属楼,无,80,179,22375
一层下跃四居 带2车位 120平南向花园 150平地下,4室2厅,低层(共6层),南北向,2008,西山华府,马连洼,马连洼北路与竹园中街交汇处南行150米路两侧,距16号线马连洼站约1026米,287,2399,83589
知春路城铁荣上居 楼龄新 东向 中,1室1厅,中层(共18层),东向,2006,荣上居,知春路,西五道口2号,距10号线知春路站约455米,53,385,72328
保利香槟 西南两居 高层动静分离 人车分离 远洋万和城西面道尔,2室2厅,高层(共21层),西南向,2008,保利香槟花园,亚运村小营,亚运村小营路6号院,距15号线关庄站约804米,92,940,102519
(南向4个空间)可看社区十米飞瀑、3.6米、,4室2厅,低层(共19层),南北向,2013,紫御华府,奥林匹克公园,奥林匹克公园北,距5号线立水桥南站约431米,383,3599,93969
高层观景三居+主卧客厅朝南+南北西采光+全景落地窗+大面宽短进深,3室2厅,低层(共25层),南北向,2013,红玺台,太阳宫,太阳宫二街三号院,距10号线芍药居站约143米,169,2699,159704
二期南北通透 高层观景 全天采光 装修好看房预约就可以,4室2厅,低层(共27层),南北向,2011,国风上观,望京,望京新城A1区,距15号线望京东站约1134米,196,1620,82653
三环新城 南北通透两居 商品房 高楼层 采光好 明厨明卫,2室2厅,高层(共29层),南北向,2006,三环新城,玉泉营,丰桥路7号院,距10号线丰台站约161米,98,530,54071
大平层 南北东朝向、南向面宽19米 300万精装修,4室2厅,中层(共7层),南北向,2008,西山华府,马连洼,马连洼北路与竹园中街交汇处南行150米路两侧,距16号线马连洼站约1026米,286,2599,90874
观西山+238平边户四居+明厨明卫+产权车位,3室3厅,中层(共6层),南北向,2011,西山壹号院,西北旺,圆明园西路药用植物园北侧,距16号线马连洼站约415米,238,2549,107101
真实可看+东城 阳光都市 新出双卧夹客厅三居 新装 全景二环景观,3室2厅,中层(共25层),西向,2003,阳光都市,东四十条,东直门外新中街18号(工人体育场北路北),距2号线东四十条站约685米,172,1650,95930
东方普罗旺斯大花园毛坯房 花园约800平。,4室3厅,低层(共2层),南向,2007,东方普罗旺斯,北七家,北七家出口1000米定泗路88号,无,556,3599,64770
小面积四居 南北西采光 书房直观西山 南北双阳台,4室2厅,高层(共6层),南北向,2007,西山华府,马连洼,马连洼北路与竹园中街交汇处南行150米路两侧,距16号线马连洼站约1026米,177,1849,104463
靠谱房源:金融街 南北三居 满五年 精心装修,3室2厅,中层(共7层),南北向,2008,西城晶华,金融街,金融街太平桥大街8号(城铁阜成门站东南600,距4号线西四站约902米,156,2480,158974
业主买了北京壹号庄园+5居室4卧朝南+200平大花园+装修保养好,5室4厅,低层(共2层),南向,2009,龙湖滟澜山,中央别墅区,后沙浴镇古城村火沙路南侧,无,260,2799,107604
房山篱笆房站 精装大三居 南北通透 11平随时看,3室2厅,中层(共9层),南北向,2012,芭蕾雨悦都,长阳,长阳镇悦盛路5号院,距房山线篱笆房站约732米,118,462,39202
